variable,term,estimate,std.error,statistic,p.value,significance
N total agriculture employed/Total employed,nsewDistType40-100:postNSEW,-0.0,0.02,-0.0,1.0,
N rural females manufacturing employed/N female rural employed,postGQ,0.02,0.02,0.98,0.33,
N rural females manufacturing employed/N female rural employed,postNSEW,0.01,0.02,0.47,0.64,
N rural females manufacturing employed/N female rural employed,gqDistTypenodal:postGQ,-0.04,0.05,-0.86,0.39,
N rural females manufacturing employed/N female rural employed,gqDistType0-40:postGQ,0.01,0.01,0.99,0.32,
N rural females manufacturing employed/N female rural employed,gqDistType40-100:postGQ,-0.01,0.01,-0.51,0.61,
N rural females manufacturing employed/N female rural employed,nsewDistTypenodal:postNSEW,-0.03,0.05,-0.65,0.52,
N rural females manufacturing employed/N female rural employed,nsewDistType0-40:postNSEW,0.02,0.02,1.3,0.19,
N rural females manufacturing employed/N female rural employed,nsewDistType40-100:postNSEW,-0.01,0.01,-1.07,0.29,
N rural males manufacturing employed/N male rural employed,postGQ,0.02,0.01,1.55,0.12,
N rural males manufacturing employed/N male rural employed,postNSEW,-0.01,0.01,-0.44,0.66,
N rural males manufacturing employed/N male rural employed,gqDistTypenodal:postGQ,0.06,0.02,2.9,0.0,***
N rural males manufacturing employed/N male rural employed,gqDistType0-40:postGQ,0.0,0.01,0.44,0.66,
N rural males manufacturing employed/N male rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.07,0.94,
N rural males manufacturing employed/N male rural employed,nsewDistTypenodal:postNSEW,-0.02,0.03,-0.92,0.36,
N rural males manufacturing employed/N male rural employed,nsewDistType0-40:postNSEW,0.0,0.01,0.37,0.71,
N rural males manufacturing employed/N male rural employed,nsewDistType40-100:postNSEW,0.0,0.01,0.06,0.95,
N rural manufacturing employed/Total rural employed,postGQ,0.02,0.01,1.77,0.08,
N rural manufacturing employed/Total rural employed,postNSEW,-0.0,0.01,-0.18,0.86,
N rural manufacturing employed/Total rural employed,gqDistTypenodal:postGQ,0.04,0.02,1.71,0.09,
N rural manufacturing employed/Total rural employed,gqDistType0-40:postGQ,0.0,0.01,0.65,0.51,
N rural manufacturing employed/Total rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.02,0.99,
N rural manufacturing employed/Total rural employed,nsewDistTypenodal:postNSEW,-0.02,0.03,-0.82,0.42,
N rural manufacturing employed/Total rural employed,nsewDistType0-40:postNSEW,0.01,0.01,0.89,0.37,
N rural manufacturing employed/Total rural employed,nsewDistType40-100:postNSEW,0.0,0.01,0.01,0.99,
N urban females manufacturing employed/N female urban employed,postGQ,0.03,0.05,0.62,0.54,
N urban females manufacturing employed/N female urban employed,postNSEW,0.07,0.05,1.33,0.19,
N urban females manufacturing employed/N female urban employed,gqDistTypenodal:postGQ,-0.01,0.1,-0.12,0.91,
N urban females manufacturing employed/N female urban employed,gqDistType0-40:postGQ,-0.01,0.03,-0.47,0.64,
N urban females manufacturing employed/N female urban employed,gqDistType40-100:postGQ,-0.04,0.03,-1.35,0.18,
N urban females manufacturing employed/N female urban employed,nsewDistTypenodal:postNSEW,0.03,0.12,0.24,0.81,
N urban females manufacturing employed/N female urban employed,nsewDistType0-40:postNSEW,0.01,0.04,0.14,0.89,
N urban females manufacturing employed/N female urban employed,nsewDistType40-100:postNSEW,-0.03,0.03,-1.0,0.32,
N urban males manufacturing employed/N male urban employed,postGQ,-0.01,0.03,-0.55,0.58,
N urban males manufacturing employed/N male urban employed,postNSEW,0.04,0.03,1.37,0.17,
N urban males manufacturing employed/N male urban employed,gqDistTypenodal:postGQ,0.07,0.05,1.37,0.17,
N urban males manufacturing employed/N male urban employed,gqDistType0-40:postGQ,0.01,0.01,0.64,0.52,
N urban males manufacturing employed/N male urban employed,gqDistType40-100:postGQ,-0.02,0.01,-1.78,0.08,
N urban males manufacturing employed/N male urban employed,nsewDistTypenodal:postNSEW,0.01,0.06,0.21,0.83,
N urban males manufacturing employed/N male urban employed,nsewDistType0-40:postNSEW,-0.02,0.02,-1.13,0.26,
N urban males manufacturing employed/N male urban employed,nsewDistType40-100:postNSEW,0.01,0.01,0.75,0.45,
N urban manufacturing employed/Total urban employed,postGQ,0.0,0.03,0.17,0.87,
N urban manufacturing employed/Total urban employed,postNSEW,0.05,0.03,1.69,0.09,
N urban manufacturing employed/Total urban employed,gqDistTypenodal:postGQ,0.06,0.05,1.15,0.25,
N urban manufacturing employed/Total urban employed,gqDistType0-40:postGQ,0.0,0.01,0.22,0.83,
N urban manufacturing employed/Total urban employed,gqDistType40-100:postGQ,-0.03,0.01,-2.15,0.03,**
N urban manufacturing employed/Total urban employed,nsewDistTypenodal:postNSEW,0.01,0.06,0.2,0.84,
N urban manufacturing employed/Total urban employed,nsewDistType0-40:postNSEW,-0.02,0.02,-0.95,0.34,
N urban manufacturing employed/Total urban employed,nsewDistType40-100:postNSEW,0.01,0.02,0.39,0.7,
N total females manufacturing employed/N female employed,postGQ,0.01,0.02,0.34,0.73,
N total females manufacturing employed/N female employed,postNSEW,0.02,0.02,0.97,0.33,
N total females manufacturing employed/N female employed,gqDistTypenodal:postGQ,-0.01,0.05,-0.16,0.87,
N total females manufacturing employed/N female employed,gqDistType0-40:postGQ,0.01,0.01,0.74,0.46,
N total females manufacturing employed/N female employed,gqDistType40-100:postGQ,-0.01,0.01,-1.17,0.24,
N total females manufacturing employed/N female employed,nsewDistTypenodal:postNSEW,0.01,0.05,0.13,0.9,
N total females manufacturing employed/N female employed,nsewDistType0-40:postNSEW,0.01,0.02,0.48,0.63,
N total females manufacturing employed/N female employed,nsewDistType40-100:postNSEW,-0.03,0.01,-2.17,0.03,**
N total males manufacturing employed/N male employed,postGQ,-0.01,0.01,-0.83,0.41,
N total males manufacturing employed/N male employed,postNSEW,0.0,0.01,0.33,0.74,
N total males manufacturing employed/N male employed,gqDistTypenodal:postGQ,0.07,0.02,3.02,0.0,***
N total males manufacturing employed/N male employed,gqDistType0-40:postGQ,0.01,0.01,1.33,0.18,
N total males manufacturing employed/N male employed,gqDistType40-100:postGQ,-0.01,0.01,-1.08,0.28,
N total males manufacturing employed/N male employed,nsewDistTypenodal:postNSEW,0.0,0.03,0.05,0.96,
N total males manufacturing employed/N male employed,nsewDistType0-40:postNSEW,0.0,0.01,0.38,0.7,
N total males manufacturing employed/N male employed,nsewDistType40-100:postNSEW,0.0,0.01,0.66,0.51,
N total manufacturing employed/Total employed,postGQ,-0.0,0.01,-0.15,0.88,
N total manufacturing employed/Total employed,postNSEW,0.01,0.01,0.56,0.57,
N total manufacturing employed/Total employed,gqDistTypenodal:postGQ,0.06,0.02,2.63,0.01,**
N total manufacturing employed/Total employed,gqDistType0-40:postGQ,0.01,0.01,1.35,0.18,
N total manufacturing employed/Total employed,gqDistType40-100:postGQ,-0.01,0.01,-1.21,0.23,
N total manufacturing employed/Total employed,nsewDistTypenodal:postNSEW,0.01,0.03,0.34,0.73,
N total manufacturing employed/Total employed,nsewDistType0-40:postNSEW,0.01,0.01,0.73,0.46,
N total manufacturing employed/Total employed,nsewDistType40-100:postNSEW,0.0,0.01,0.11,0.91,
N rural females transportation employed/N female rural employed,postGQ,0.0,0.0,0.94,0.35,
N rural females transportation employed/N female rural employed,postNSEW,0.0,0.0,0.57,0.57,
N rural females transportation employed/N female rural employed,gqDistTypenodal:postGQ,-0.0,0.0,-0.58,0.56,
N rural females transportation employed/N female rural employed,gqDistType0-40:postGQ,-0.0,0.0,-1.89,0.06,
N rural females transportation employed/N female rural employed,gqDistType40-100:postGQ,-0.0,0.0,-0.13,0.89,
N rural females transportation employed/N female rural employed,nsewDistTypenodal:postNSEW,0.0,0.0,1.21,0.23,
N rural females transportation employed/N female rural employed,nsewDistType0-40:postNSEW,-0.0,0.0,-0.18,0.86,
N rural females transportation employed/N female rural employed,nsewDistType40-100:postNSEW,0.0,0.0,0.56,0.57,
N rural males transportation employed/N male rural employed,postGQ,0.03,0.01,4.28,0.0,***
N rural males transportation employed/N male rural employed,postNSEW,0.01,0.01,1.53,0.13,
N rural males transportation employed/N male rural employed,gqDistTypenodal:postGQ,0.01,0.01,0.4,0.69,
N rural males transportation employed/N male rural employed,gqDistType0-40:postGQ,-0.0,0.0,-0.93,0.35,
N rural males transportation employed/N male rural employed,gqDistType40-100:postGQ,0.0,0.0,0.14,0.89,
N rural males transportation employed/N male rural employed,nsewDistTypenodal:postNSEW,0.02,0.01,1.19,0.23,
N rural males transportation employed/N male rural employed,nsewDistType0-40:postNSEW,-0.01,0.0,-1.13,0.26,
N rural males transportation employed/N male rural employed,nsewDistType40-100:postNSEW,-0.0,0.0,-1.19,0.23,
N rural transportation employed/Total rural employed,postGQ,0.02,0.01,3.59,0.0,***
N rural transportation employed/Total rural employed,postNSEW,0.01,0.01,1.51,0.13,
N rural transportation employed/Total rural employed,gqDistTypenodal:postGQ,0.01,0.01,0.54,0.59,
N rural transportation employed/Total rural employed,gqDistType0-40:postGQ,-0.0,0.0,-1.42,0.16,
N rural transportation employed/Total rural employed,gqDistType40-100:postGQ,0.0,0.0,0.28,0.78,
N rural transportation employed/Total rural employed,nsewDistTypenodal:postNSEW,0.02,0.01,1.45,0.15,
N rural transportation employed/Total rural employed,nsewDistType0-40:postNSEW,-0.0,0.0,-0.87,0.39,
N rural transportation employed/Total rural employed,nsewDistType40-100:postNSEW,-0.0,0.0,-1.55,0.12,
N urban females transportation employed/N female urban employed,postGQ,0.01,0.01,1.19,0.24,
N urban females transportation employed/N female urban employed,postNSEW,-0.0,0.01,-0.44,0.66,
N urban females transportation employed/N female urban employed,gqDistTypenodal:postGQ,0.0,0.01,0.25,0.8,
N urban females transportation employed/N female urban employed,gqDistType0-40:postGQ,-0.0,0.0,-1.19,0.23,
N urban females transportation employed/N female urban employed,gqDistType40-100:postGQ,0.0,0.0,0.05,0.96,
N urban females transportation employed/N female urban employed,nsewDistTypenodal:postNSEW,-0.01,0.02,-0.36,0.72,
N urban females transportation employed/N female urban employed,nsewDistType0-40:postNSEW,-0.01,0.01,-1.92,0.06,
N urban females transportation employed/N female urban employed,nsewDistType40-100:postNSEW,-0.0,0.0,-0.22,0.82,
N urban males transportation employed/N male urban employed,postGQ,0.03,0.02,1.56,0.12,
N urban males transportation employed/N male urban employed,postNSEW,-0.01,0.02,-0.47,0.64,
N urban males transportation employed/N male urban employed,gqDistTypenodal:postGQ,-0.0,0.03,-0.15,0.88,
N urban males transportation employed/N male urban employed,gqDistType0-40:postGQ,-0.01,0.01,-0.78,0.44,
N urban males transportation employed/N male urban employed,gqDistType40-100:postGQ,-0.01,0.01,-0.7,0.48,
N urban males transportation employed/N male urban employed,nsewDistTypenodal:postNSEW,-0.03,0.04,-0.74,0.46,
N urban males transportation employed/N male urban employed,nsewDistType0-40:postNSEW,-0.03,0.01,-2.3,0.02,**
N urban males transportation employed/N male urban employed,nsewDistType40-100:postNSEW,0.0,0.01,0.36,0.72,
N urban transportation employed/Total urban employed,postGQ,0.01,0.01,0.95,0.34,
N urban transportation employed/Total urban employed,postNSEW,-0.0,0.01,-0.07,0.94,
N urban transportation employed/Total urban employed,gqDistTypenodal:postGQ,-0.0,0.03,-0.06,0.95,
N urban transportation employed/Total urban employed,gqDistType0-40:postGQ,-0.01,0.01,-0.81,0.42,
N urban transportation employed/Total urban employed,gqDistType40-100:postGQ,-0.0,0.01,-0.66,0.51,
N urban transportation employed/Total urban employed,nsewDistTypenodal:postNSEW,-0.02,0.03,-0.79,0.43,
N urban transportation employed/Total urban employed,nsewDistType0-40:postNSEW,-0.02,0.01,-2.23,0.03,**
N urban transportation employed/Total urban employed,nsewDistType40-100:postNSEW,0.0,0.01,0.24,0.81,
N total females transportation employed/N female employed,postGQ,0.0,0.0,0.85,0.4,
N total females transportation employed/N female employed,postNSEW,0.0,0.0,0.32,0.75,
N total females transportation employed/N female employed,gqDistTypenodal:postGQ,-0.0,0.0,-0.55,0.58,
N total females transportation employed/N female employed,gqDistType0-40:postGQ,-0.0,0.0,-2.62,0.01,**
N total females transportation employed/N female employed,gqDistType40-100:postGQ,-0.0,0.0,-1.12,0.26,
N total females transportation employed/N female employed,nsewDistTypenodal:postNSEW,0.0,0.01,0.91,0.36,
N total females transportation employed/N female employed,nsewDistType0-40:postNSEW,-0.0,0.0,-1.07,0.28,
N total females transportation employed/N female employed,nsewDistType40-100:postNSEW,0.0,0.0,0.76,0.45,
N total males transportation employed/N male employed,postGQ,0.01,0.01,1.2,0.23,
N total males transportation employed/N male employed,postNSEW,0.01,0.01,1.06,0.29,
N total males transportation employed/N male employed,gqDistTypenodal:postGQ,-0.0,0.01,-0.23,0.82,
N total males transportation employed/N male employed,gqDistType0-40:postGQ,-0.0,0.0,-1.25,0.21,
N total males transportation employed/N male employed,gqDistType40-100:postGQ,-0.0,0.0,-0.54,0.59,
N total males transportation employed/N male employed,nsewDistTypenodal:postNSEW,0.01,0.01,0.89,0.38,
N total males transportation employed/N male employed,nsewDistType0-40:postNSEW,-0.01,0.0,-2.15,0.03,**
N total males transportation employed/N male employed,nsewDistType40-100:postNSEW,-0.0,0.0,-1.1,0.27,
N total transportation employed/Total employed,postGQ,0.0,0.01,0.66,0.51,
N total transportation employed/Total employed,postNSEW,0.01,0.01,1.27,0.21,
N total transportation employed/Total employed,gqDistTypenodal:postGQ,0.0,0.01,0.01,0.99,
N total transportation employed/Total employed,gqDistType0-40:postGQ,-0.0,0.0,-1.85,0.06,
N total transportation employed/Total employed,gqDistType40-100:postGQ,-0.0,0.0,-0.71,0.48,
N total transportation employed/Total employed,nsewDistTypenodal:postNSEW,0.01,0.01,1.03,0.3,
N total transportation employed/Total employed,nsewDistType0-40:postNSEW,-0.01,0.0,-1.84,0.07,
N total transportation employed/Total employed,nsewDistType40-100:postNSEW,-0.0,0.0,-1.48,0.14,
N rural females commerce employed/N female rural employed,postGQ,0.02,0.01,1.74,0.08,
N rural females commerce employed/N female rural employed,postNSEW,-0.01,0.01,-0.96,0.34,
N rural females commerce employed/N female rural employed,gqDistTypenodal:postGQ,0.03,0.02,1.3,0.19,
N rural females commerce employed/N female rural employed,gqDistType0-40:postGQ,-0.0,0.01,-0.24,0.81,
N rural females commerce employed/N female rural employed,gqDistType40-100:postGQ,-0.01,0.01,-1.61,0.11,
N rural females commerce employed/N female rural employed,nsewDistTypenodal:postNSEW,-0.03,0.03,-1.19,0.23,
N rural females commerce employed/N female rural employed,nsewDistType0-40:postNSEW,-0.01,0.01,-0.66,0.51,
N rural females commerce employed/N female rural employed,nsewDistType40-100:postNSEW,-0.0,0.01,-0.61,0.54,
N rural males commerce employed/N male rural employed,postGQ,0.03,0.01,2.8,0.01,**
N rural males commerce employed/N male rural employed,postNSEW,-0.0,0.01,-0.25,0.8,
N rural males commerce employed/N male rural employed,gqDistTypenodal:postGQ,0.01,0.02,0.45,0.65,
N rural males commerce employed/N male rural employed,gqDistType0-40:postGQ,-0.0,0.01,-0.61,0.54,
N rural males commerce employed/N male rural employed,gqDistType40-100:postGQ,-0.01,0.01,-2.04,0.04,**
N rural males commerce employed/N male rural employed,nsewDistTypenodal:postNSEW,-0.02,0.02,-0.84,0.4,
N rural males commerce employed/N male rural employed,nsewDistType0-40:postNSEW,-0.0,0.01,-0.4,0.69,
N rural males commerce employed/N male rural employed,nsewDistType40-100:postNSEW,0.01,0.01,2.03,0.04,**
N rural commerce employed/Total rural employed,postGQ,0.03,0.01,2.89,0.0,***
N rural commerce employed/Total rural employed,postNSEW,-0.01,0.01,-0.71,0.48,
N rural commerce employed/Total rural employed,gqDistTypenodal:postGQ,0.01,0.02,0.78,0.44,
N rural commerce employed/Total rural employed,gqDistType0-40:postGQ,-0.0,0.0,-0.92,0.36,
N rural commerce employed/Total rural employed,gqDistType40-100:postGQ,-0.01,0.0,-2.1,0.04,**
N rural commerce employed/Total rural employed,nsewDistTypenodal:postNSEW,-0.02,0.02,-1.18,0.24,
N rural commerce employed/Total rural employed,nsewDistType0-40:postNSEW,-0.0,0.01,-0.18,0.86,
N rural commerce employed/Total rural employed,nsewDistType40-100:postNSEW,0.01,0.01,1.71,0.09,
N urban females commerce employed/N female urban employed,postGQ,0.08,0.05,1.56,0.12,
N urban females commerce employed/N female urban employed,postNSEW,-0.05,0.05,-1.0,0.32,
N urban females commerce employed/N female urban employed,gqDistTypenodal:postGQ,-0.07,0.09,-0.74,0.46,
N urban females commerce employed/N female urban employed,gqDistType0-40:postGQ,-0.0,0.02,-0.06,0.95,
N urban females commerce employed/N female urban employed,gqDistType40-100:postGQ,-0.05,0.02,-2.03,0.04,**
N urban females commerce employed/N female urban employed,nsewDistTypenodal:postNSEW,-0.06,0.11,-0.6,0.55,
N urban females commerce employed/N female urban employed,nsewDistType0-40:postNSEW,-0.01,0.04,-0.35,0.73,
N urban females commerce employed/N female urban employed,nsewDistType40-100:postNSEW,0.01,0.03,0.39,0.69,
N urban males commerce employed/N male urban employed,postGQ,0.05,0.03,1.52,0.13,
N urban males commerce employed/N male urban employed,postNSEW,-0.02,0.03,-0.7,0.48,
N urban males commerce employed/N male urban employed,gqDistTypenodal:postGQ,-0.09,0.06,-1.52,0.13,
N urban males commerce employed/N male urban employed,gqDistType0-40:postGQ,-0.01,0.01,-0.51,0.61,
N urban males commerce employed/N male urban employed,gqDistType40-100:postGQ,0.0,0.02,0.3,0.77,
N urban males commerce employed/N male urban employed,nsewDistTypenodal:postNSEW,-0.01,0.07,-0.2,0.84,
N urban males commerce employed/N male urban employed,nsewDistType0-40:postNSEW,0.02,0.02,1.1,0.27,
N urban males commerce employed/N male urban employed,nsewDistType40-100:postNSEW,0.03,0.02,1.64,0.1,
N urban commerce employed/Total urban employed,postGQ,0.05,0.03,1.75,0.08,
N urban commerce employed/Total urban employed,postNSEW,-0.03,0.03,-1.16,0.25,
N urban commerce employed/Total urban employed,gqDistTypenodal:postGQ,-0.08,0.06,-1.41,0.16,
N urban commerce employed/Total urban employed,gqDistType0-40:postGQ,-0.0,0.01,-0.21,0.83,
N urban commerce employed/Total urban employed,gqDistType40-100:postGQ,-0.0,0.01,-0.09,0.92,
N urban commerce employed/Total urban employed,nsewDistTypenodal:postNSEW,-0.02,0.06,-0.32,0.75,
N urban commerce employed/Total urban employed,nsewDistType0-40:postNSEW,0.02,0.02,1.15,0.25,
N urban commerce employed/Total urban employed,nsewDistType40-100:postNSEW,0.04,0.02,2.06,0.04,**
N total females commerce employed/N female employed,postGQ,0.02,0.01,1.32,0.19,
N total females commerce employed/N female employed,postNSEW,-0.02,0.01,-1.29,0.2,
N total females commerce employed/N female employed,gqDistTypenodal:postGQ,-0.02,0.02,-0.74,0.46,
N total females commerce employed/N female employed,gqDistType0-40:postGQ,0.0,0.01,0.02,0.99,
N total females commerce employed/N female employed,gqDistType40-100:postGQ,-0.01,0.01,-1.45,0.15,
N total females commerce employed/N female employed,nsewDistTypenodal:postNSEW,-0.04,0.03,-1.58,0.11,
N total females commerce employed/N female employed,nsewDistType0-40:postNSEW,-0.01,0.01,-0.66,0.51,
N total females commerce employed/N female employed,nsewDistType40-100:postNSEW,-0.01,0.01,-0.88,0.38,
N total males commerce employed/N male employed,postGQ,-0.0,0.01,-0.29,0.77,
N total males commerce employed/N male employed,postNSEW,-0.01,0.01,-0.61,0.54,
N total males commerce employed/N male employed,gqDistTypenodal:postGQ,-0.02,0.02,-0.96,0.34,
N total males commerce employed/N male employed,gqDistType0-40:postGQ,0.0,0.01,0.45,0.65,
N total males commerce employed/N male employed,gqDistType40-100:postGQ,-0.01,0.01,-1.25,0.21,
N total males commerce employed/N male employed,nsewDistTypenodal:postNSEW,-0.0,0.03,-0.04,0.97,
N total males commerce employed/N male employed,nsewDistType0-40:postNSEW,0.01,0.01,0.84,0.4,
N total males commerce employed/N male employed,nsewDistType40-100:postNSEW,0.02,0.01,2.6,0.01,**
N total commerce employed/Total employed,postGQ,0.0,0.01,0.15,0.88,
N total commerce employed/Total employed,postNSEW,-0.01,0.01,-1.07,0.29,
N total commerce employed/Total employed,gqDistTypenodal:postGQ,-0.01,0.02,-0.4,0.69,
N total commerce employed/Total employed,gqDistType0-40:postGQ,0.0,0.01,0.28,0.78,
N total commerce employed/Total employed,gqDistType40-100:postGQ,-0.01,0.01,-1.4,0.16,
N total commerce employed/Total employed,nsewDistTypenodal:postNSEW,-0.01,0.02,-0.38,0.7,
N total commerce employed/Total employed,nsewDistType0-40:postNSEW,0.01,0.01,0.85,0.4,
N total commerce employed/Total employed,nsewDistType40-100:postNSEW,0.01,0.01,2.13,0.03,**
Aerosol particle radius (percent of small particles),postGQ,13.17,1.3,10.12,0.0,***
Aerosol particle radius (percent of small particles),gqDistTypenodal:postGQ,-0.17,2.62,-0.06,0.95,
Aerosol particle radius (percent of small particles),gqDistType0-40:postGQ,-0.72,0.84,-0.86,0.39,
Aerosol particle radius (percent of small particles),gqDistType40-100:postGQ,0.77,0.83,0.93,0.36,
Aerosol particle radius (percent of small particles),nsewDistTypenodal:postNSEW,-2.94,3.09,-0.95,0.34,
Aerosol particle radius (percent of small particles),nsewDistType0-40:postNSEW,-0.4,1.11,-0.37,0.71,
Aerosol particle radius (percent of small particles),nsewDistType40-100:postNSEW,0.55,0.88,0.62,0.54,
Aerosol optical thickness (thickness scale  0–1 ),postGQ,0.07,0.01,8.45,0.0,***
Aerosol optical thickness (thickness scale  0–1 ),gqDistTypenodal:postGQ,0.02,0.02,1.29,0.2,
Aerosol optical thickness (thickness scale  0–1 ),gqDistType0-40:postGQ,0.03,0.01,4.53,0.0,***
Aerosol optical thickness (thickness scale  0–1 ),gqDistType40-100:postGQ,0.02,0.01,4.08,0.0,***
Aerosol optical thickness (thickness scale  0–1 ),nsewDistTypenodal:postNSEW,0.02,0.02,0.75,0.46,
Aerosol optical thickness (thickness scale  0–1 ),nsewDistType0-40:postNSEW,0.01,0.01,1.27,0.2,
Aerosol optical thickness (thickness scale  0–1 ),nsewDistType40-100:postNSEW,0.0,0.01,0.08,0.94,
Carbon monoxide levels (parts per billion by volume),postGQ,-1.61,0.66,-2.45,0.01,**
Carbon monoxide levels (parts per billion by volume),gqDistTypenodal:postGQ,-3.9,1.32,-2.96,0.0,***
Carbon monoxide levels (parts per billion by volume),gqDistType0-40:postGQ,0.06,0.42,0.15,0.88,
Carbon monoxide levels (parts per billion by volume),gqDistType40-100:postGQ,0.36,0.42,0.87,0.39,
Carbon monoxide levels (parts per billion by volume),nsewDistTypenodal:postNSEW,2.07,1.56,1.33,0.18,
Carbon monoxide levels (parts per billion by volume),nsewDistType0-40:postNSEW,-1.27,0.56,-2.28,0.02,**
Carbon monoxide levels (parts per billion by volume),nsewDistType40-100:postNSEW,-1.74,0.44,-3.91,0.0,***
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",postGQ,0.41,1.01,0.41,0.69,
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",gqDistTypenodal:postGQ,1.98,2.04,0.97,0.33,
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",gqDistType0-40:postGQ,0.15,0.66,0.23,0.82,
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",gqDistType40-100:postGQ,-1.83,0.65,-2.82,0.0,***
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",nsewDistTypenodal:postNSEW,-0.02,2.41,-0.01,0.99,
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",nsewDistType0-40:postNSEW,-0.94,0.86,-1.09,0.28,
"Empl rate, 7+ years, main + marginal, Female (percent of age group)",nsewDistType40-100:postNSEW,-1.13,0.69,-1.64,0.1,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",postGQ,-0.66,0.65,-1.02,0.31,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",gqDistTypenodal:postGQ,0.27,1.31,0.21,0.83,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",gqDistType0-40:postGQ,0.57,0.42,1.35,0.18,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",gqDistType40-100:postGQ,-0.83,0.41,-1.99,0.05,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",nsewDistTypenodal:postNSEW,1.06,1.54,0.69,0.49,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",nsewDistType0-40:postNSEW,-0.38,0.55,-0.69,0.49,
"Empl rate, 7+ years, main + marginal, Total (percent of age group)",nsewDistType40-100:postNSEW,-0.48,0.44,-1.09,0.28,
"Regular wage earners, Female (percent of total empl)",postGQ,3.04,1.19,2.56,0.01,**
"Regular wage earners, Female (percent of total empl)",gqDistTypenodal:postGQ,1.01,2.39,0.42,0.67,
"Regular wage earners, Female (percent of total empl)",gqDistType0-40:postGQ,2.05,0.77,2.67,0.01,**
"Regular wage earners, Female (percent of total empl)",gqDistType40-100:postGQ,0.69,0.76,0.91,0.36,
"Regular wage earners, Female (percent of total empl)",nsewDistTypenodal:postNSEW,0.83,2.82,0.29,0.77,
"Regular wage earners, Female (percent of total empl)",nsewDistType0-40:postNSEW,2.25,1.01,2.23,0.03,**
"Regular wage earners, Female (percent of total empl)",nsewDistType40-100:postNSEW,0.76,0.8,0.95,0.34,
"Regular wage earners, Total (percent of total emplt)",postGQ,1.72,0.93,1.85,0.07,
"Regular wage earners, Total (percent of total emplt)",gqDistTypenodal:postGQ,0.03,1.88,0.01,0.99,
"Regular wage earners, Total (percent of total emplt)",gqDistType0-40:postGQ,1.22,0.6,2.02,0.04,**
"Regular wage earners, Total (percent of total emplt)",gqDistType40-100:postGQ,0.64,0.6,1.07,0.28,
"Regular wage earners, Total (percent of total emplt)",nsewDistTypenodal:postNSEW,-0.45,2.22,-0.2,0.84,
"Regular wage earners, Total (percent of total emplt)",nsewDistType0-40:postNSEW,2.16,0.79,2.72,0.01,**
"Regular wage earners, Total (percent of total emplt)",nsewDistType40-100:postNSEW,0.23,0.63,0.36,0.72,
Forest (percent of area),postGQ,-0.65,0.7,-0.92,0.36,
Forest (percent of area),gqDistTypenodal:postGQ,-1.2,1.42,-0.84,0.4,
Forest (percent of area),gqDistType0-40:postGQ,-0.45,0.46,-1.0,0.32,
Forest (percent of area),gqDistType40-100:postGQ,-0.24,0.45,-0.54,0.59,
Forest (percent of area),nsewDistTypenodal:postNSEW,0.19,1.67,0.11,0.91,
Forest (percent of area),nsewDistType0-40:postNSEW,-0.29,0.6,-0.49,0.62,
Forest (percent of area),nsewDistType40-100:postNSEW,-1.05,0.48,-2.19,0.03,**
"GDP  (current USD, in millions)",postGQ,665.75,68.98,9.65,0.0,***
"GDP  (current USD, in millions)",gqDistTypenodal:postGQ,238.39,139.02,1.71,0.09,
"GDP  (current USD, in millions)",gqDistType0-40:postGQ,190.69,44.68,4.27,0.0,***
"GDP  (current USD, in millions)",gqDistType40-100:postGQ,26.45,44.11,0.6,0.55,
"GDP  (current USD, in millions)",nsewDistTypenodal:postNSEW,852.45,163.9,5.2,0.0,***
"GDP  (current USD, in millions)",nsewDistType0-40:postNSEW,95.39,58.6,1.63,0.1,
"GDP  (current USD, in millions)",nsewDistType40-100:postNSEW,-16.74,46.76,-0.36,0.72,
GDP per capita (current USD),postGQ,181.65,15.95,11.39,0.0,***
GDP per capita (current USD),gqDistTypenodal:postGQ,63.91,32.14,1.99,0.05,
GDP per capita (current USD),gqDistType0-40:postGQ,33.35,10.33,3.23,0.0,***
GDP per capita (current USD),gqDistType40-100:postGQ,2.64,10.2,0.26,0.8,
GDP per capita (current USD),nsewDistTypenodal:postNSEW,85.0,37.9,2.24,0.03,**
GDP per capita (current USD),nsewDistType0-40:postNSEW,20.97,13.55,1.55,0.12,
GDP per capita (current USD),nsewDistType40-100:postNSEW,-5.39,10.81,-0.5,0.62,
Nitrogen dioxide levels (billion molecules/mm2),postGQ,25.3,2.86,8.85,0.0,***
Nitrogen dioxide levels (billion molecules/mm2),gqDistTypenodal:postGQ,9.89,5.76,1.72,0.09,
